Vocals, Drums, Claps, Zero-Crossing, Centroid, Roll Off, Flux
1,0,1,0.045387,0.038318,0.059294,0.113461
1,0,1,0.030429,0.022905,0.066535,0.105547
1,1,0,0.051594,0.036253,0.084070,0.099291
1,0,1,0.075188,0.069237,0.108343,0.106302
1,0,1,0.028027,0.023251,0.091113,0.111085
1,1,1,0.082714,0.066900,0.139113,0.107554
1,0,0,0.076296,0.061906,0.126609,0.096929
1,1,1,0.036229,0.028092,0.108832,0.104428
1,0,0,0.040304,0.033780,0.058152,0.108136
1,0,1,0.038253,0.036346,0.061914,0.113801
1,0,0,0.048878,0.040543,0.059054,0.094715
1,1,0,0.051865,0.041927,0.109638,0.098089
1,0,0,0.046992,0.032698,0.066924,0.090678
0,1,0,0.047166,0.034435,0.076430,0.106263
1,0,1,0.065731,0.047124,0.114903,0.109752
1,0,1,0.047348,0.050231,0.088816,0.096692
1,1,1,0.042375,0.033987,0.070151,0.107948
1,0,1,0.062730,0.052241,0.091914,0.095553
1,0,1,0.022785,0.018782,0.027230,0.100883
1,1,1,0.051372,0.048105,0.107484,0.102324
1,0,1,0.053438,0.044443,0.079230,0.103437
1,1,1,0.073426,0.063342,0.123956,0.096909
1,0,1,0.040362,0.031933,0.064188,0.099620
1,0,1,0.044248,0.053294,0.098058,0.096729
1,1,1,0.030939,0.022946,0.139372,0.106076
1,0,1,0.035244,0.031453,0.043209,0.099921
1,0,0,0.046067,0.032874,0.071729,0.098031
1,0,0,0.057310,0.052924,0.098711,0.101696
1,0,1,0.037928,0.030880,0.073039,0.098403
1,0,1,0.079588,0.066180,0.145864,0.101300
1,1,0,0.058200,0.051977,0.097738,0.108003
1,0,0,0.035383,0.032528,0.056126,0.103455
1,0,0,0.141529,0.106785,0.277512,0.097831
1,1,0,0.104982,0.106643,0.214861,0.077327
1,0,1,0.025808,0.021438,0.030888,0.113651
1,0,1,0.024499,0.020908,0.026058,0.097045
1,1,1,0.047818,0.038920,0.062861,0.096602
1,0,0,0.043011,0.037982,0.056475,0.094884
1,0,0,0.050519,0.036093,0.080192,0.098680
1,0,1,0.049367,0.044110,0.062691,0.097174
1,0,1,0.056301,0.042530,0.073965,0.098330
1,1,1,0.121399,0.123102,0.230086,0.078803
1,0,0,0.033543,0.028677,0.055378,0.104758
1,0,1,0.040687,0.038665,0.054934,0.095485
1,1,0,0.029131,0.035555,0.075045,0.085240
1,1,0,0.114177,0.106753,0.212410,0.075897
1,1,1,0.062143,0.044641,0.113472,0.095743
1,1,1,0.050339,0.034312,0.088153,0.096278
1,1,0,0.058216,0.054999,0.133353,0.080929
1,1,0,0.069005,0.061804,0.111018,0.097893
1,0,0,0.059848,0.052442,0.090775,0.099639
1,0,0,0.052401,0.040834,0.125465,0.099027
1,0,1,0.039631,0.035385,0.051528,0.103127
1,0,0,0.030149,0.024643,0.073667,0.101953
1,0,0,0.076449,0.069397,0.115380,0.104675
1,0,0,0.049245,0.041784,0.076560,0.096819
1,0,0,0.044914,0.110899,0.270075,0.079707
1,0,0,0.049268,0.041285,0.071619,0.103494
1,0,0,0.045005,0.036073,0.100917,0.092620
1,0,1,0.040184,0.034410,0.054553,0.105965
1,1,0,0.056558,0.049897,0.091618,0.099436
1,0,0,0.064185,0.056832,0.076220,0.103847
1,1,0,0.028222,0.023005,0.062903,0.106265
1,1,1,0.117194,0.113007,0.216242,0.078614
1,1,1,0.022589,0.018413,0.023424,0.112436
1,0,1,0.192781,0.167515,0.300809,0.097757
1,1,0,0.044236,0.036449,0.058515,0.099791
1,0,0,0.060929,0.053229,0.079695,0.107841
1,0,1,0.047862,0.037972,0.075407,0.096222
1,0,1,0.049670,0.034157,0.079846,0.096514
1,0,0,0.042512,0.035084,0.060497,0.109932
1,0,0,0.034616,0.027605,0.058750,0.097787
1,0,1,0.038940,0.033296,0.056274,0.106786
1,0,0,0.045805,0.040864,0.063041,0.096674
1,1,0,0.025977,0.020467,0.038502,0.098923
1,0,0,0.054713,0.042685,0.124833,0.094282
1,0,0,0.061040,0.049850,0.095340,0.098468
1,1,0,0.035291,0.030108,0.061944,0.094845
1,0,0,0.056819,0.050392,0.073582,0.096263
1,0,0,0.023167,0.021727,0.029185,0.103341
1,1,0,0.073913,0.065219,0.130463,0.099593
1,0,1,0.056553,0.042250,0.114120,0.094267
1,0,0,0.058679,0.051628,0.090682,0.094048
1,1,1,0.027251,0.021889,0.111093,0.097180
1,0,1,0.050774,0.037954,0.120762,0.091528
1,0,1,0.042381,0.032436,0.075997,0.094797
1,0,1,0.048091,0.038073,0.079148,0.097913
1,1,1,0.079903,0.065460,0.121152,0.092188
1,1,0,0.024814,0.018372,0.271707,0.102602
1,0,1,0.029618,0.023125,0.038021,0.102529
